Sample,Time,Ta,V_Thermistor,PWM%
1,2025-07-04 14:10:49,18.63,1.625,0
2,2025-07-04 14:11:19,18.47,1.624,0
3,2025-07-04 14:11:49,18.33,1.672,0
4,2025-07-04 14:12:19,18.25,1.623,0
5,2025-07-04 14:12:49,18.16,1.637,0
6,2025-07-04 14:13:19,18.12,1.630,0
7,2025-07-04 14:13:49,18.04,1.644,0
8,2025-07-04 14:14:19,18.00,1.640,0
9,2025-07-04 14:14:49,18.01,1.644,0
10,2025-07-04 14:15:19,18.04,1.647,0
11,2025-07-04 14:15:49,18.03,1.651,0
12,2025-07-04 14:16:19,18.02,1.653,0
13,2025-07-04 14:16:49,17.95,1.650,0
14,2025-07-04 14:17:19,17.90,1.669,0
15,2025-07-04 14:17:49,17.88,1.662,0
16,2025-07-04 14:18:19,17.80,1.662,0
17,2025-07-04 14:18:49,17.76,1.666,0
18,2025-07-04 14:19:19,17.68,1.658,0
19,2025-07-04 14:19:49,17.62,1.672,0
20,2025-07-04 14:20:19,17.58,1.675,0
21,2025-07-04 14:20:49,17.53,1.668,0
22,2025-07-04 14:21:19,17.49,1.675,0
23,2025-07-04 14:21:49,17.41,1.667,0
24,2025-07-04 14:22:19,17.37,1.675,0
25,2025-07-04 14:22:49,17.32,1.675,0
26,2025-07-04 14:23:19,17.29,1.677,0
27,2025-07-04 14:23:49,17.26,1.669,0
28,2025-07-04 14:24:19,17.23,1.676,0
29,2025-07-04 14:24:49,17.22,1.682,0
30,2025-07-04 14:25:19,17.20,1.682,0
31,2025-07-04 14:25:49,17.18,1.680,0
32,2025-07-04 14:26:19,17.15,1.683,0
33,2025-07-04 14:26:49,17.12,1.685,0
34,2025-07-04 14:27:19,17.13,1.677,0
35,2025-07-04 14:27:49,17.12,1.683,0
36,2025-07-04 14:28:19,17.13,1.682,0
37,2025-07-04 14:28:49,17.12,1.687,0
38,2025-07-04 14:29:19,17.12,1.678,0
39,2025-07-04 14:29:49,17.15,1.687,0
40,2025-07-04 14:30:19,17.15,1.683,0
41,2025-07-04 14:30:49,17.14,1.683,0
42,2025-07-04 14:31:19,17.15,1.675,0
43,2025-07-04 14:31:49,17.16,1.692,0
44,2025-07-04 14:32:19,17.19,1.690,0
45,2025-07-04 14:32:49,17.25,1.686,0
46,2025-07-04 14:33:19,17.30,1.695,0
47,2025-07-04 14:33:49,17.39,1.688,0
48,2025-07-04 14:34:19,17.46,1.695,0
49,2025-07-04 14:34:49,17.51,1.696,0
50,2025-07-04 14:35:19,17.46,1.698,0
51,2025-07-04 14:35:49,17.35,1.692,0
52,2025-07-04 14:36:19,17.29,1.700,0
53,2025-07-04 14:36:49,17.25,1.676,0
54,2025-07-04 14:37:19,17.26,1.689,0
55,2025-07-04 14:37:49,17.31,1.687,0
56,2025-07-04 14:38:19,17.32,1.692,0
57,2025-07-04 14:38:49,17.31,1.695,0
58,2025-07-04 14:39:19,17.32,1.689,0
59,2025-07-04 14:39:49,17.36,1.684,0
60,2025-07-04 14:40:19,17.40,1.687,0
61,2025-07-04 14:40:49,17.43,1.721,0
62,2025-07-04 14:41:19,17.43,1.695,0
63,2025-07-04 14:41:49,17.44,1.689,0
64,2025-07-04 14:42:19,17.45,1.687,0
65,2025-07-04 14:42:49,17.48,1.643,0
66,2025-07-04 14:43:19,17.52,1.697,0
67,2025-07-04 14:43:49,17.52,1.691,0
68,2025-07-04 14:44:19,17.54,1.696,0
69,2025-07-04 14:44:49,17.57,1.695,0
70,2025-07-04 14:45:19,17.56,1.701,0
71,2025-07-04 14:45:49,17.53,1.695,0
72,2025-07-04 14:46:19,17.48,1.696,0
73,2025-07-04 14:46:49,17.42,1.692,0
74,2025-07-04 14:47:19,17.38,1.689,0
75,2025-07-04 14:47:49,17.32,1.696,0
76,2025-07-04 14:48:19,17.28,1.696,0
77,2025-07-04 14:48:49,17.25,1.699,0
78,2025-07-04 14:49:19,17.30,1.696,0
79,2025-07-04 14:49:49,17.32,1.702,0
80,2025-07-04 14:50:19,17.34,1.696,0
81,2025-07-04 14:50:49,17.30,1.714,0
82,2025-07-04 14:51:19,17.26,1.689,0
83,2025-07-04 14:51:49,17.22,1.699,0
84,2025-07-04 14:52:19,17.22,1.708,0
85,2025-07-04 14:52:49,17.21,1.702,0
86,2025-07-04 14:53:19,17.17,1.702,0
87,2025-07-04 14:53:49,17.10,1.699,0
88,2025-07-04 14:54:19,17.04,1.687,0
89,2025-07-04 14:54:49,16.97,1.708,0
90,2025-07-04 14:55:19,16.89,1.712,0
91,2025-07-04 14:55:49,16.83,1.694,0
92,2025-07-04 14:56:19,16.77,1.705,0
93,2025-07-04 14:56:49,16.74,1.708,0
94,2025-07-04 14:57:19,16.76,1.708,0
95,2025-07-04 14:57:49,16.79,1.696,0
96,2025-07-04 14:58:19,16.79,1.701,0
97,2025-07-04 14:58:49,16.78,1.712,0
98,2025-07-04 14:59:19,16.79,1.708,0
99,2025-07-04 14:59:49,16.77,1.714,0
100,2025-07-04 15:00:19,16.78,1.714,0
101,2025-07-04 15:00:49,16.75,1.708,0
102,2025-07-04 15:01:19,16.78,1.711,0
103,2025-07-04 15:01:49,16.81,1.709,0
104,2025-07-04 15:02:19,16.82,1.715,0
105,2025-07-04 15:02:49,16.83,1.715,0
106,2025-07-04 15:03:19,16.85,1.708,0
107,2025-07-04 15:03:49,16.89,1.717,0
108,2025-07-04 15:04:19,16.90,1.719,0
109,2025-07-04 15:04:49,16.87,1.722,0
110,2025-07-04 15:05:19,16.84,1.721,0
111,2025-07-04 15:05:49,16.78,1.724,0
112,2025-07-04 15:06:19,16.77,1.713,0
113,2025-07-04 15:06:49,16.70,1.721,0
114,2025-07-04 15:07:19,16.69,1.733,0
