"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","220uf 25V","","","","","~"
"C2","1","0.01uf","","","","","~"
"D1","1","1N5819","","","","","~"
"D2","1","1N4734","","","","","~"
"J1,J2","2","Jack-DC","","","","","~"
"J3","1","AudioJack2","","","","","~"
"Q1","1","2N7000","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.vishay.com/docs/70226/70226.pdf"
"R1","1","330","","","","","~"
"R2","1","10K","","","","","~"
"U1","1","XIAO-ESP32-S3-DIP","","","","Module:MOUDLE14P-XIAO-DIP-SMD",""
"U2","1","~","","","","",""
"U3","1","TS-P312","","","","Converter_DCDC:Converter_DCDC_TRACO_TRA3-xxxx_THT","https://www.tracopower.com/products/tra3.pdf"
